epoch,step,train_acc,train_loss,val_loss
0,49,0.1875,1.5624749660491943,
0,99,0.1875,1.5908442735671997,
0,149,0.375,1.5228962898254395,
0,199,0.15625,1.5270428657531738,
0,249,0.15625,1.5971143245697021,
0,299,0.21875,1.522898554801941,
0,349,0.4375,1.4345383644104004,
0,399,0.21875,1.57671320438385,
0,449,0.375,1.5245451927185059,
0,499,0.25,1.566375970840454,
0,549,0.28125,1.4984101057052612,
0,599,0.25,1.5474696159362793,
0,649,0.40625,1.3863329887390137,
0,699,0.53125,1.3446162939071655,
0,749,0.40625,1.3987878561019897,
0,799,0.3125,1.4666316509246826,
0,806,,,1.4530726671218872
1,849,0.59375,1.196459412574768,
1,899,0.34375,1.5170320272445679,
1,949,0.15625,1.511855125427246,
1,999,0.5,1.354435920715332,
1,1049,0.53125,1.3644754886627197,
1,1099,0.3125,1.4817954301834106,
1,1149,0.21875,1.589381217956543,
1,1199,0.34375,1.4143075942993164,
1,1249,0.3125,1.5311439037322998,
1,1299,0.4375,1.3907665014266968,
1,1349,0.3125,1.4837367534637451,
1,1399,0.375,1.3978135585784912,
1,1449,0.28125,1.6176166534423828,
1,1499,0.25,1.4297891855239868,
1,1549,0.46875,1.3636082410812378,
1,1599,0.375,1.5506056547164917,
1,1613,,,1.3922699689865112
2,1649,0.3125,1.3448572158813477,
2,1699,0.46875,1.3578481674194336,
2,1749,0.28125,1.534570336341858,
2,1799,0.5,1.2791390419006348,
2,1849,0.4375,1.2225650548934937,
2,1899,0.375,1.2996832132339478,
2,1949,0.4375,1.4505976438522339,
2,1999,0.25,1.518233060836792,
2,2049,0.25,1.418771505355835,
2,2099,0.4375,1.3407337665557861,
2,2149,0.3125,1.4772639274597168,
2,2199,0.46875,1.439476728439331,
2,2249,0.4375,1.1511849164962769,
2,2299,0.375,1.398221492767334,
2,2349,0.46875,1.388602614402771,
2,2399,0.46875,1.3582006692886353,
2,2420,,,1.3549435138702393
3,2449,0.5625,1.0936318635940552,
